CODGEO;LIBGEO;CS1_81_IMMI1_SEXE1;CS1_81_IMMI1_SEXE2;CS1_81_IMMI2_SEXE1;CS1_81_IMMI2_SEXE2;CS1_82_IMMI1_SEXE1;CS1_82_IMMI1_SEXE2;CS1_82_IMMI2_SEXE1;CS1_82_IMMI2_SEXE2;CS1_83_IMMI1_SEXE1;CS1_83_IMMI1_SEXE2;CS1_83_IMMI2_SEXE1;CS1_83_IMMI2_SEXE2;CS1_84_IMMI1_SEXE1;CS1_84_IMMI1_SEXE2;CS1_84_IMMI2_SEXE1;CS1_84_IMMI2_SEXE2;CS1_85_IMMI1_SEXE1;CS1_85_IMMI1_SEXE2;CS1_85_IMMI2_SEXE1;CS1_85_IMMI2_SEXE2;CS1_86_IMMI1_SEXE1;CS1_86_IMMI1_SEXE2;CS1_86_IMMI2_SEXE1;CS1_86_IMMI2_SEXE2;CS1_87_IMMI1_SEXE1;CS1_87_IMMI1_SEXE2;CS1_87_IMMI2_SEXE1;CS1_87_IMMI2_SEXE2;CS1_88_IMMI1_SEXE1;CS1_88_IMMI1_SEXE2;CS1_88_IMMI2_SEXE1;CS1_88_IMMI2_SEXE2
72266;Saint-Aubin-de-Locquenay;0;0;10;0;0;0;5;0;9;0;25;0;0;0;30;40;0;0;20;75;0;0;74;15;0;0;90;115;0;0;90;75
72267;Saint-Aubin-des-Coudrais;0;0;20;5;0;0;15;5;0;0;30;15;0;0;55;35;0;0;15;75;0;5;129;70;5;5;115;90;0;0;117;115
72268;Saint-Biez-en-Belin;0;0;12;8;4;4;16;16;0;0;24;8;0;0;32;40;4;8;16;72;4;0;84;4;0;4;48;60;0;4;96;136
72269;Saint-Calais;0;0;15;0;0;0;57;15;0;0;31;26;5;0;118;93;0;10;98;272;31;5;315;119;0;5;542;761;10;31;411;372
72270;Saint-Calez-en-Saosnois;0;0;8;0;0;0;8;0;0;0;0;0;0;0;0;11;0;0;0;23;0;0;31;4;0;0;19;8;0;0;19;27
72271;Saint-Célerin;0;0;10;10;0;0;14;10;0;0;5;0;0;0;34;24;0;0;24;125;0;0;125;24;0;0;67;67;0;0;149;140
72272;Sainte-Cérotte;0;0;12;4;0;0;0;8;0;0;4;4;0;0;4;4;0;0;4;28;0;0;44;32;0;0;52;52;0;0;36;28
72273;Saint-Christophe-du-Jambet;0;0;0;0;0;0;10;0;0;0;0;0;0;0;10;0;0;0;5;39;5;0;34;5;0;0;20;25;0;0;39;44
72274;Saint-Christophe-en-Champagne;0;0;4;4;0;0;4;8;0;0;4;4;0;0;8;4;0;0;4;19;0;0;23;4;0;0;19;23;0;0;35;35
72275;Saint-Corneille;0;0;10;10;0;0;24;10;0;0;14;24;0;0;101;87;0;0;38;178;0;0;140;38;0;0;111;82;0;0;231;236
72276;Saint-Cosme-en-Vairais;0;5;15;10;0;0;20;15;5;0;10;15;0;0;40;60;0;0;40;155;0;0;330;100;0;5;285;349;0;0;288;230
72277;Saint-Denis-des-Coudrais;0;0;4;0;0;0;4;0;0;0;0;0;0;4;8;8;0;0;0;20;0;0;20;0;0;0;8;8;0;0;12;20
72278;Saint-Denis-d'Orques;0;0;34;10;0;0;5;10;0;0;20;5;0;0;20;35;0;5;10;69;0;0;120;15;0;0;95;139;0;5;103;114
72279;Saint-Georges-de-la-Couée;0;0;23;8;0;0;8;0;0;0;8;0;0;0;0;0;0;0;4;19;0;0;11;0;4;4;11;27;0;0;15;15
72280;Saint-Georges-du-Bois;0;0;12;4;0;0;32;8;4;0;85;46;4;0;146;183;0;4;28;215;8;0;204;24;0;4;215;239;0;0;257;308
72281;Saint-Georges-du-Rosay;0;0;10;10;0;0;10;0;0;0;0;5;0;0;30;20;0;0;5;45;0;0;46;21;0;5;40;55;0;0;65;70
72282;Saint-Georges-le-Gaultier;0;0;44;24;0;0;5;0;0;0;0;0;0;0;24;20;0;0;10;64;0;0;64;20;0;0;59;59;0;0;64;83
72283;Saint-Germain-d'Arcé;0;0;20;10;0;0;20;5;0;0;0;15;0;0;10;15;0;0;15;20;5;5;30;10;5;0;30;45;0;0;55;45
72284;Saint-Germain-sur-Sarthe;0;0;10;10;0;0;15;5;0;0;5;0;0;0;40;40;0;0;10;70;0;0;75;15;0;0;65;60;0;0;85;85
72286;Saint-Gervais-de-Vic;0;0;10;0;0;0;5;10;0;0;0;0;0;0;20;15;0;0;0;35;0;0;65;20;0;5;45;55;5;10;50;40
72287;Saint-Gervais-en-Belin;0;0;10;0;5;0;45;55;5;0;75;25;0;5;94;154;0;5;50;280;10;0;245;30;5;0;189;199;5;10;229;385
72289;Sainte-Jamme-sur-Sarthe;0;0;5;0;0;5;20;15;0;0;51;20;0;0;81;111;0;0;66;242;5;0;212;51;0;0;283;328;5;0;298;258
72290;Saint-Jean-d'Assé;0;0;21;8;0;0;34;4;0;0;46;17;0;8;84;101;0;8;71;235;4;0;230;38;0;0;113;142;4;0;277;251
72291;Saint-Jean-de-la-Motte;0;0;14;5;0;0;14;5;0;0;9;5;0;0;43;43;0;5;19;104;0;0;128;28;5;0;109;76;0;0;118;175
72292;Saint-Jean-des-Échelles;0;0;15;5;0;0;0;5;5;0;5;5;0;0;20;10;0;0;5;25;5;0;20;5;0;0;30;30;5;5;30;20
